ambiguous_word,meaning,Text,
মাথা,অঙ্গ বিশেষ,মাথা হলো মানবদেহে বিদ্যমান সবচেয়ে ভারি অংশ।,
মাথা,অঙ্গ বিশেষ,"মাথা অঙ্গের একটি অংশ যাতে সাধারণত চোখ, কান, নাক এবং মুখ অন্তর্ভুক্ত থাকে।",
মাথা,অঙ্গ বিশেষ,মাথার উপর ভারি ডিসি পাথরটা ছেড়ে দিলেন তিনি ।,
মাথা,অঙ্গ বিশেষ,মাথা বেল করে দেওয়া উচিত ছিল।,
মাথা,অঙ্গ বিশেষ,মাথার উপরের এবং সামনের অংশ,
মাথা,অঙ্গ বিশেষ,চুল পেঁচিয়ে মাথার উপর তুলে রাখার অভ্যাস।,
মাথা,অঙ্গ বিশেষ,তাঁর মাথা ও শরীরে ধাতব বস্তু দিয়ে আঘাত করা হয়েছে।,
মাথা,অঙ্গ বিশেষ,কিছু সাপের মাথার সেই রূপ যেখানে মাথার অংশ প্রসারিত হয়ে পাতার আকারের হয়ে যায়,
মাথা,অঙ্গ বিশেষ,মাথা উদ্দিপনায় সারা দেয়।,
মাথা,অঙ্গ বিশেষ,ব্যথা মাথায় হলেও এর উৎসমূল মাথা ছাড়াও নানান কারণে হতে পারে,
মাথা,অঙ্গ বিশেষ,এতে মস্তিষ্কে অতিরিক্ত চাপ পড়ে মাথা ব্যথা শুরু হয়।,
মাথা,অঙ্গ বিশেষ,মাথায় চাপ সহ ব্যাথা ও অস্বস্তিকর অনুভুতিকেই মাথা ব্যাথা বলা হয়।,
মাথা,অঙ্গ বিশেষ,মাথার চারদিক জুড়ে: টেনশন হেডেক।,
মাথা,অঙ্গ বিশেষ,মাথায় আঘাত লেগে অজ্ঞান হয়ে গেল।,
মাথা,অঙ্গ বিশেষ,ব্যাথা মাথায় হলেও এর উৎসমূল মাথা ছাড়াও নানান কারণে হতে পারে.,
মাথা,অঙ্গ বিশেষ,মাথায় হাত রেখে বলো যে তুমি কাজটি করোনি?,
মাথা,অঙ্গ বিশেষ,মাথা শরীরের সবচেয়ে গুরুত্বপূর্ণ অংশ।,
মাথা,অঙ্গ বিশেষ,রাম খুব জোরে বল করায় রাজুর মাথায় চোট লেগেছিল ।,
মাথা,অঙ্গ বিশেষ,মেয়েরা মাথায় ফুল এর মালা পরে ।,
মাথা,অঙ্গ বিশেষ,সে তার মাথায় ফুল এর মালা পরিয়ে দিল ।,
মাথা,অঙ্গ বিশেষ,সে ঠাকুরের মাথায় ফুল দিচ্ছিল ।,
মাথা,অঙ্গ বিশেষ,তার মাথায় অনেক বুদ্ধি।,
মাথা,অঙ্গ বিশেষ,মাথা মানুষের দেহের বিভিন্ন ধরনের কাজ করে থাকে,
মাথা,অঙ্গ বিশেষ,মাথা কি বিন বিন করে?,
মাথা,অঙ্গ বিশেষ,মাথায় এতো বোঝা নিয়েছো কেনো।,
মাথা,অঙ্গ বিশেষ,কান টানলে মাথা আসে।,
মাথা,অঙ্গ বিশেষ,পদ্মা সেতুতে মাথা নিয়ে গুজব:,
মাথা,অঙ্গ বিশেষ,তেলা মাথায় তেল দেওয়া আপনাদের স্বভাব,
মাথা,অঙ্গ বিশেষ,একটু ঠান্ডা মাথায় ভেবে দেখবেন।,
মাথা,অঙ্গ বিশেষ,মনে হয় মাথাটা কেউ চেপে ধরে রেখেছে।,
মাথা,অঙ্গ বিশেষ,"মাথা ব্যথা করা, মাথা ভারী অনুভব করা বা মাথা ঘোরানো ... রোগীদের জন্য",
মাথা,অঙ্গ বিশেষ,"অর্থাৎ এতে মাথা গণনা করা হয়, মেধার বিচার করা হয় না।",
মাথা,অঙ্গ বিশেষ,"থেঁতলে গিয়েছে মাথার এক পাশ, জঙ্গলে উদ্ধার মহিলার নগ্ন দেহ",
মাথা,অঙ্গ বিশেষ,যাদের মাথায় চুল নেই তাদের মাথা ঢাকার জন্য চুলের টুপি (পরচুলা) তৈরির কারখানা।,
মাথা,অঙ্গ বিশেষ,হিন্দুদের শোলোটা সংস্কারের মধ্যে একটা যাতে বালকের মাথা নেড়া করে দেওয়া হয়,
মাথা,অঙ্গ বিশেষ,এক প্রকারের বড় হরিণ যার মাথায় গজানো শিঙের অনেক শাখা প্রশাখা বের হয়,
মাথা,অঙ্গ বিশেষ,বর্ণহিন্দুদের মাথার পিছনে সংরক্ষিত কেশগুচ্ছ যা মাথার উপর-মধ্য ভাগে থাকে,
মাথা,অঙ্গ বিশেষ,সেই কালো মাটি যা দিয়ে বৈষ্ণবেরা মাথায় তিলক লাগায়,
মাথা,অঙ্গ বিশেষ,মাথায় পড়ার গয়না,
মাথা,অঙ্গ বিশেষ,এক প্রকার মুক্তো যা হাতির মাথা থেকে নির্গত হয়,
মাথা,অঙ্গ বিশেষ,সেই কল্পিত বিন্দু যা মাথার উপরে আকাশে কল্পনা করা হয়,
মাথা,অঙ্গ বিশেষ,একটি পাখী যার সারা শরীর সবুজ রঙের এবং মাথা থেকে গলা পর্ন্ত অংশ লাল রঙের হয়,
মাথা,অঙ্গ বিশেষ,হাতির মাথার দু'দিকের চওড়া অংশ,
মাথা,অঙ্গ বিশেষ,নানক সম্প্রদায়ের সাধু যারা মাথায় লোহার চক্রের সাথে কালো কাপড় পরে,
মাথা,অঙ্গ বিশেষ,শরীরের সেই ভাগ যা মাথাকে ধরের সাথে যুক্ত করে,
মাথা,অঙ্গ বিশেষ,মাথার সেই রোগ যার ফলে মন এবং বুদ্ধি বা চিন্তাশক্তির সামঞ্জস্য নষ্ট হয়ে যায়,
মাথা,অঙ্গ বিশেষ,হাতির মাথার দু'দিকের উপরের অংশ,
মাথা,অঙ্গ বিশেষ,মাথায় পরে এমন একটি গয়না,
মাথা,অঙ্গ বিশেষ,মাথায় পরে এমন এক গয়না,
মাথা,অঙ্গ বিশেষ,মাথার উপরের এবং উচ্চতায় সবার উপরের স্থান,
মাথা,অঙ্গ বিশেষ,"মোরগ, ময়ূর প্রভৃতিদের মাথার উপর ঝুঁটি বা মাংসল ভাগ",
মাথা,অঙ্গ বিশেষ,মাথার মধ্য ভাগ,
মাথা,অঙ্গ বিশেষ,এক প্রকারের গুজরাতি লোকনৃত্য যাতে মহিলারা দেবীর প্রতিমার সামনে বা চারদিকে গোল করে তথা কোমর বা মাথায় ঘড়া রেখে বিশেষ ভাবে নাচে,
মাথা,অঙ্গ বিশেষ,মাথায় ব্যাথা লাগলে গোল হয়ে ফুলে যায় যে অংশ,
মাথা,অঙ্গ বিশেষ,এক প্রকারের গয়না যা স্ত্রীরা মাথায় পরে,
মাথা,অঙ্গ বিশেষ,একজন রাক্ষস যার তিনটি মাথা ছিল,
মাথা,অঙ্গ বিশেষ,মহিলাদের মাথায় পরার এক প্রকার আভূষণ,
মাথা,অঙ্গ বিশেষ,একটি অর্ধচন্দ্রাকার আভূষণ যা মহিলারা মাথায় পরেন,
মাথা,অঙ্গ বিশেষ,মাথায় পরার এক প্রকার গয়না,
মাথা,অঙ্গ বিশেষ,মাথা না ফিরিয়ে পাশে দেখার ক্রিয়া,
মাথা,অঙ্গ বিশেষ,লজ্জায় মাথা নীচু করা,
মাথা,অঙ্গ বিশেষ,মাথার হাড়কে কি বলে?,
মাথা,অঙ্গ বিশেষ,মাথার না কাটা চুল,
মাথা,অঙ্গ বিশেষ,মাথা দিয়ে গলিয়ে পরার পোশাক যা শার্টের মতোই দেখতে কিন্তু পুরোটা খুলতে হয় না,
মাথা,অঙ্গ বিশেষ,মাথার চুল কালো কেন?,
মাথা,অঙ্গ বিশেষ,"শাড়ি, ওড়না বা চাদরের ভাগ যা লজ্জাশীল স্ত্রীরা মাথার উপর দিয়ে মুখ ঢাকে",
মাথা,অঙ্গ বিশেষ,মাথাকে চোট থেকে বাঁচাবার জন্য পরা ধাতুর তৈরী একটি মজবুত টুপি,
মাথা,অঙ্গ বিশেষ,যে ব্যক্তির মাথা কাজ করা ছেড়ে দিয়েছে,
মাথা,অঙ্গ বিশেষ,মস্তিষ্কে বিকার আসা বা মাথা ঠিক ভাবে কাজ না করা,
মাথা,অঙ্গ বিশেষ,যে রাজাদের মাথায় ছাতা ধরে,
মাথা,অঙ্গ বিশেষ,যার মাথা কারও সামনে নত রয়েছে,
মাথা,অঙ্গ বিশেষ,যে চাদর যোগীরা সাধনের সময় মাথায় পরেন,
মাথা,অঙ্গ বিশেষ,যে টুপির দ্বারা মাথা ও কান ঢেকে যায়,
মাথা,অঙ্গ বিশেষ,মজা বা নেশায় মাথা এবং শরীর সামনে পিছনে এবং এদিক ওদিক হেলানো,
মাথা,অঙ্গ বিশেষ,মাথার ভেতরের গুপ্ত ছিদ্র যা দিয়ে প্রাণ বেরিয়ে গেলে ব্রহ্মলোক প্রাপ্তি হয়,
মাথা,অঙ্গ বিশেষ,"কাঠ, শিং বা ধাতুর তৈরি সেই বস্তু যা দিয়ে মাথার চুল ঝাড়া হয়",
মাথা,অঙ্গ বিশেষ,মাথা ইত্যাদি থেকে চুল পড়া,
মাথা,অঙ্গ বিশেষ,যোগীরা যোগ সাধনা করার সময় যে কাপড় মাথায় পরে,
মাথা,অঙ্গ বিশেষ,শিকারী জানোয়ারের মাথায় যে টুপী পরানো হয়,
মাথা,অঙ্গ বিশেষ,সেই প্রাণী যার মাথা এবং ধর মানুষের মতো এবং কোমর থেকে ঘোড়ার মতো হয়,
মাথা,অঙ্গ বিশেষ,চড়াই পাখির আকৃতির একটি পাখি যার মাথা হলুদ এবং উজ্জ্বল হয়,
মাথা,অঙ্গ বিশেষ,আসল বা নকল চপল দিয়ে তৈরী সেই বস্তু যা মাথায় পরা হয়,
মাথা,অঙ্গ বিশেষ,মাথায় ব্যাথা করা,
মাথা,অঙ্গ বিশেষ,মাথা কাটা (শরীর),
মাথা,অঙ্গ বিশেষ,"একটি বাঁদর যার মাথা, গলা ও ছাতি সাদা হয়",
মাথা,অঙ্গ বিশেষ,যার মাথায় সম্পূর্ণ সাদা টীকা রয়েছে,
মাথা,অঙ্গ বিশেষ,বিয়ের সময় বরের দ্বারা কনের মাথায় সিন্দুর পরানোর ক্রিয়া,
মাথা,অঙ্গ বিশেষ,এক ধরনের গয়না যা স্ত্রীরা মাথায় পরেন,
মাথা,অঙ্গ বিশেষ,যার মাথার চুল পড়ে গেছে,
মাথা,অঙ্গ বিশেষ,কাপড়ের তৈরী ছোটো গোল গদি যাল বোঝ ওঠানোর সময় মাথায় রাখা হয়,
মাথা,অঙ্গ বিশেষ,"কান, গলা ও মাথা গরম রাখার জন্য পরা হয় বা জড়ানো হয় এমন উলের কাপড়",
মাথা,অঙ্গ বিশেষ,"তিকোনা, ছোটো শিরোভূষণ যা বিয়ের সময় কনের মাথায় বাঁধা হয়",
মাথা,অঙ্গ বিশেষ,মাথার উপর সোজা যে বিন্দুর কল্পনা করা হয়,
মাথা,অঙ্গ বিশেষ,মাথার চুল যা কানপট্টীর পাশে থাকে,
মাথা,অঙ্গ বিশেষ,হাত পা ছোঁড়া ও মাথা ঝাঁকানো বা জোরে জোরে মাথা নাড়ানো যাতে বোঝা যায় যে ভুত এসেছে,
মাথা,অঙ্গ বিশেষ,সেই কেশসজ্জা যাতে মাথার সিঁথির দু দিকের চুল চিরুনি দিয়ে আঁচড়ে বসানো হয়,
মাথা,অঙ্গ বিশেষ,মানুষের মাথার খুলি,
মাথা,অঙ্গ বিশেষ,যার মাথার চুল পড়ে গেছে,
মাথা,অঙ্গ বিশেষ,যার মাথায় চুল নেই বা নেড়া হয়ে গেছে,
মাথা,অঙ্গ বিশেষ,জলাশয়ের পার্শ্ববর্তী অঞ্চলে বসবাসকারী একপ্রকার মধ্যম আকৃতির বড় মাথা এবং ছোট লেজযুক্ত পাখি যা মাছ ইত্যাদি ধরে খায়,
মাথা,অঙ্গ বিশেষ,মাথার যন্ত্রণা বড় জন্তনা,
মাথা,অঙ্গ বিশেষ,(বিশেষতঃ সেনাবিভাগে) একপ্রকার অভিবাদন যেখানে সোজা দাঁড়িয়ে ডান হাত মাথার কাছে নিয়ে আসা হয়,
মাথা,অঙ্গ বিশেষ,হাতীর মাথার মাঝখানের সামান্য গভীর ভাগ,
মাথা,অঙ্গ বিশেষ,এক প্রকার সুন্দর পাখি যা নীল-কালো রঙের হয় এবং এর মাথা এবং কাঁধে নীল রঙের ফোঁটা থাকে,
মাথা,অঙ্গ বিশেষ,আফিমের নেশার কারণে মাথা বার-বার সামনে ঝুঁকে যাওয়া,
মাথা,অঙ্গ বিশেষ,মাথা বা দাড়ির বড় চুল যা কাটাতে হয়,
মাথা,অঙ্গ বিশেষ,কোনো কাজ করানোর জন্য বা অন্য কোনো কারণে কারোর সাথে এমন কিছু(চাপ দিয়ে) করা যাতে সামনের ব্যক্তি মাথা নত করে,
মাথা,অঙ্গ বিশেষ,"এক প্রকার জ্বর যাতে খুব পিপাসা পায় আর শরীরে জ্বলুনী, মাথা ঘোরা, মাথা ব্যথা এবং পেট ব্যথা হয়",
মাথা,অঙ্গ বিশেষ,হাতির মাথা,
মাথা,অঙ্গ বিশেষ,"মাথার চুল ধোয়ার জন্য ব্যবহৃত একটি সাবান, গাছ-গাছারি ইত্যাদি মিশিয়ে তৈরি করা পদার্থ",
মাথা,অঙ্গ বিশেষ,অত্যধিক আফিমের নেশা থেকে উতপন্ন অবস্থা যাতে আফিমখোরের মাথা সামনের দিকে বার-বার ঝুঁকে যায় ও সে অচেতন হয়ে পরে,
মাথা,অঙ্গ বিশেষ,কন্যাপক্ষের লোকেদের দ্বারা বরের মাথায় তিলক লাগিয়ে বিবাহ নিশ্চিত করার ক্রিয়া,
মাথা,অঙ্গ বিশেষ,পোকা ইত্যাদির মাথায় থাকে একটা বা দুটো অতি সংবেদনশীল উপাঙ্গ যা স্পর্শ ও স্বাদের জন্য বিশেষরূপে সংবেদনশীল হয়,
মাথা,অঙ্গ বিশেষ,মাথা দিয়ে গলিয়ে পরার পোশাক যা শার্টের মতোই দেখতে কিন্তু পুরোটা খুলতে হয় না,
মাথা,অঙ্গ বিশেষ,জন্মের সময় যার মাথার বদলে পা প্রথমে বাইরে আসে,
মাথা,অঙ্গ বিশেষ,সিধে দাঁড়িয়ে থেকে ডান হাত মাথার পাশ দিয়ে নিয়ে গিয়ে অভিবাদন করা,
মাথা,অঙ্গ বিশেষ,মাথায় পরে এমন এক রত্ন,
মাথা,অঙ্গ বিশেষ,মাথা কেটে যাওয়ার পরে বেঁচে থাকা ধড়,
মাথা,অঙ্গ বিশেষ,তুলো ইত্যাদিতে ভরা মুখবন্ধ থলে যা শোওয়ার সময় মাথা ইত্যাদির নীচে রাখা হয়,
মাথা,অঙ্গ বিশেষ,"বিভিন্ন আকার ও রঙের পাতা, কাঁচ বা ধাতু ইত্যাদির তৈরী বস্তু যা মহিলারা মাথায় লাগায়",
মাথা,অঙ্গ বিশেষ,বিয়ে পাকা করার একটা রীতি যখন বৌদী বরের মাথায় তিলক লাগিয়ে তাকে কিছু দেয়,
মাথা,অঙ্গ বিশেষ,মাথায় পডরা হয় এমন পরিধান যা দিয়ে মাথা ঢাকা থাকে,
