ambiguous_word,meaning,Text,
মাথা,অঙ্গ বিশেষ,"মাথা অঙ্গের একটি অংশ যাতে সাধারণত চোখ, কান, নাক এবং মুখ অন্তর্ভুক্ত থাকে। ",
মাথা,অঙ্গ বিশেষ,মাথা হলো মানবদেহে বিদ্যমান সবচেয়ে ভারি অংশ।,
মাথা,অঙ্গ বিশেষ,মাথার উপর ভারি ডিসি পাথাটা ছেড়ে দিলেন তিনি ।,
মাথা,অঙ্গ বিশেষ,মাথা বেল করে দেওয়া উচিত ছিল। ,
মাথা,অঙ্গ বিশেষ,তার তোয়ালে দিয়ে চুল পেঁচিয়ে মাথার উপর তুলে রাখার অভ্যাস থাকলে অবিলম্বে তা ত্যাগ করা উচিৎ।,
মাথা,অঙ্গ বিশেষ,তাঁর মাথা ও শরীরে ধাতব বস্তু দিয়ে আঘাত করা হয়েছে।,
মাথা,অঙ্গ বিশেষ,মাথা উদ্দিপনায় সারা দেয়।,
মাথা,অঙ্গ বিশেষ,ব্যথা মাথায় হলেও এর উৎসমূল মাথা ছাড়াও নানান কারণে হতে পারে,
মাথা,অঙ্গ বিশেষ,এতে মস্তিষ্কে অতিরিক্ত চাপ পড়ে মাথা ব্যথা শুরু হয়।,
মাথা,অঙ্গ বিশেষ,মাথায় চাপ সহ ব্যাথা ও অস্বস্তিকর অনুভুতিকেই মাথা ব্যাথা বলা হয়।,
মাথা,অঙ্গ বিশেষ,মাথার চারদিক জুড়ে: টেনশন হেডেক মানসিক চাপ বা বিষণ্নতাজনিত মাথাব্যথাকে টেনশন-টাইপ হেডেক বা দুশ্চিন্তাজনিত মাথাব্যথা বলা হয়।,
মাথা,অঙ্গ বিশেষ,মাথায় আঘাত লেগে অজ্ঞান হয়ে গেলে এক মুহূর্তে দেরি না করে ইনটেনসিভ কেয়ার ইউনিট এবং নিউরো সার্জারির বিভাগে যাওয়া উচিৎ।,
মাথা,অঙ্গ বিশেষ,থা মাথায় হলেও এর উৎসমূল মাথা ছাড়াও নানান কারণে হতে পারে.,
মাথা,অঙ্গ বিশেষ, মাথায় হাত রেখে বলো যে তুমি কাজটি করোনি?,
মাথা,অঙ্গ বিশেষ,মাথা শরীরের সবচেয়ে গুরুত্বপূর্ণ অংশ।,
মাথা,অঙ্গ বিশেষ,রাম খুব জোরে বল করায় রাজুর মাথায় চোট লেগেছিল ।,
মাথা,অঙ্গ বিশেষ,মেয়েরা মাথায় ফুল এর মালা পরে ।,
মাথা,অঙ্গ বিশেষ,সে তার মাথায় ফুল এর মালা পরিয়ে দিল ।,
মাথা,অঙ্গ বিশেষ,সে ঠাকুরের মাথায় ফুল দিচ্ছিল ।,
মাথা,অঙ্গ বিশেষ,তার মাথায় অনেক বুদ্ধি। ,
মাথা,অঙ্গ বিশেষ,মাথা মানুষের দেহের বিভিন্ন ধরনের কাজ করে থাকে,
মাথা,অঙ্গ বিশেষ,মাথা কি বিন বিন করে? ,
মাথা,অঙ্গ বিশেষ,মাথায় এতো বোঝা নিয়েছো কেনো।,
মাথা,অঙ্গ বিশেষ, কাতলা মাছের মাথা মোটা এবং লেজ চিকন হয়ে আসছে। ,
মাথা,প্রধান,"গোপাল বাবু এই গাঁয়ের মাথা, তার কথা সবাই মেনে চলে।",
মাথা,প্রধান,খান সাহেব এখন গায়ের মাথা।,
মাথা,প্রধান,বাবারা পরিবারের মাথা থাকে।,
মাথা,প্রধান,আজ পর্যন্ত সংসারের মাথা তিনিই আছেন। ,
মাথা,অঙ্গ বিশেষ,কান টানলে মাথা আসে।,
মাথা,আশ্রয় খোঁজা,মাথা গোঁজার ঠাঁই হচ্ছে হতদরিদ্র দুই পরিবারের,
মাথা,আশ্রয় খোঁজা,পরিবার পাচ্ছে মাথা গোজার ঠাঁই,
মাথা,বুদ্ধি,মাথা খাটালে সবই সম্ভব।,
মাথা,প্রধান,পুরুষরাই সংসারের মাথা হয়।,
মাথা,প্রধান,হাজবেন্ড হচ্ছে সংসারের মাথা- ওয়াইফ হচ্ছে গলা!,
মাথা,প্রধান,গ্রামের মাথা নষ্ট করামত বেবি ডল নাচ.,
মাথা,প্রধান,রহিম সাহেব কে সকলেই এই গ্রামের মাথা হিসেবে মান্য করে।,
মাথা,প্রধান,চ্যায়ারম্যান সাহেব ই এই গ্রামের মাথা।,
মাথা,বুদ্ধি,ছেলেটির মাথা খুব ভালো।,
মাথা,বুদ্ধি,আমার মাথা তখন একেবারেই কাজ করছিল না।,
মাথা,বুদ্ধি,অতিরিক্ত টেনশনে তার মাথা কাজ করছেনা।,
মাথা,বুদ্ধি,"দেখবেন, এতে মাথা ভালোভাবে কাজ করে।",
মাথা,বুদ্ধি, ছেলেটির অংকে মাথা ভালো।,
মাথা,বুদ্ধি,মাথা আছে বলেই অংকে পাশ করতে পেরেছো।,
মাথা,বুদ্ধি,"নাহ! তোমার মাথা নেই ,তোমাকে দিয়ে কিচ্ছু হবে না বাবু।",
মাথা,বুদ্ধি,ছেলেটা ছোট বেলা থেকে খুব ভাল অংকে মাথা ছিল ।,
মাথা,প্রধান,এই এলাকার মাথা আজ পর্যন্ত তিনিই ছিলেন।,
মাথা,প্রধান, তিনি মারা যাওয়ার সাথে সাথে এলাকার মাথাও কেটে গেলো মনে হতে লাগলও।,
মাথা,প্রধান,সমাজের মাথা হয়ে দাঁড়িয়ে ছিলেন এতদিন।,
মাথা,বুদ্ধি,ঠিকমতো মাথা লাগিয়ে চিন্তা করো তাহলেই আসল জিনিস বেরিয়ে আসবে।,
মাথা,বুদ্ধি,মাথা দিয়ে ভেবে দেখো কাজটি ঠিক হয়েছে কিনা।,
মাথা,লজ্জিত হওয়া,যে ঘরের ছেলের ধমকে বাবা মাথা নত করে সেই সংসার কি সুখের হতে পারে?',
মাথা,স্বভাব নষ্ট,বেশি আদরে ছেলেটির মাথা খেয়েছে।,
মাথা,স্বভাব নষ্ট,আদরে-আদরে বউটার মাথা খেয়েছেন।,
মাথা,স্বভাব নষ্ট, দিন দিন প্রশ্রয় দিয়ে তাকে মাথায় তুলে ফেলেছো।,
মাথা,বুদ্ধি,তক্ষণ সময় নিয়ে সমাধান করবে সেটির একটি মাইন্ড ম্যাপ মাথায় থাকলে খুব সহজেই অল্প সময়ে অনেক অংক করতে পারবে। ,
মাথা,বুদ্ধি,ইদানিং মাথা ঠিক মতো কাজ করেনা।,
মাথা,বুদ্ধি,মাথার বুদ্ধি থাকলে ঠিকি কাজ হতো।,
মাথা,দুশ্চিন্তাহীন,পরীক্ষার আগের দিন মাথা ঠাণ্ডা রাখতে কোনো কিছু প্র্যাকটিস না করাই শ্রেয়। ,
মাথা,দুশ্চিন্তাহীন,মাথা ঠান্ডা রাখার উপদেশ সবাই দিয়ে থাকেন কিন্তু সব পরিস্থিতিতে মাথা ঠিক রাখা যায় না।,
মাথা,দুশ্চিন্তাহীন,চকোলেট স্ট্রেস হরমোনকে নিয়ন্ত্রণ করে ফিল গুড হরমোনের ক্ষরণ বাড়ায়। ফলে মাথা শান্ত থাকে।,
মাথা,দুশ্চিন্তাহীন,কী খেলে মাথা ঠান্ডা থাকবে জানুন।,
মাথা,দুশ্চিন্তাহীন,"মাথা যত ঠান্ডা হতে থাকবে, ততই দেখবেন ওই আঁকাআঁকি পালটে যাচ্ছে সুন্দর ছবিতে",
মাথা,দুশ্চিন্তাহীন,বিভিন্ন পরিস্থিতিতে মাথা ঠান্ডা বা রাগ দমন করাটা আমাদের জন্য বড্ড কঠিন একটি কাজ।,
মাথা,দুশ্চিন্তাহীন,তাই মাথা ঠান্ডা রাখার চেষ্টা করুন বিপদে-আপদে। ,
মাথা,উন্নতি হওয়া,সে আজ সগৌরবে মাথা তোলে দাঁড়িয়েছে।,
মাথা,উন্নতি হওয়া,অধ্যবস্যায়ের ফলেই সে আজ মাথা তোলে দাড়াতে পেরেছে।,
মাথা,উন্নতি হওয়া, সারাজীবন তিনি সমাজে মাথা উচু করে চলেছেন।,
মাথা,উন্নতি হওয়া,মাথা তোলে দাঁড়ানো এত সহজ বিষয় ছিলনা তার পরিবারের জন্য।,
মাথা,স্হূলবুদ্ধি বোকা ,তার মতো মাথা মোটা লোক আমি আর একটাও দেখিনি।,
মাথা,স্হূলবুদ্ধি বোকা ,মাথায় ঘাস নিয়ে থাকো নাকি যে এটা বুঝোনা!,
মাথা,স্হূলবুদ্ধি বোকা ,"স্যার বললেন,ছাত্রের মাথায় নাকি গোবড় ছাড়া কিছু নেই।",
মাথা,স্হূলবুদ্ধি বোকা ,মাথায় সারাদিন ঘাস কাটলে এই দশাই হয়।,
মাথা,স্হূলবুদ্ধি বোকা ,মাথায় গোবড় নিয়ে ঘোরে বলেই এই অবস্থা তার।,
মাথা,স্হূলবুদ্ধি বোকা ,তোমার মাথা অনেক দেরীতে কাজ করে।,
মাথা,স্হূলবুদ্ধি বোকা ,মাথা  দেরীতে কাজ করে দেখে তাকে এ জায়গার দায়িত্ব দেওয়া হয়নি।,
মাথা,স্হূলবুদ্ধি বোকা ,এসব মাথা মোটা লোক আমার দরকার নেই।,
মাথা,স্হূলবুদ্ধি বোকা ,"ওর কথা বাদ দে, মাথায় গোবড় ছাড়া কিছুই নাই, GPA 5 পাইছে ৬. জীবনে কি করে খাবি, GPA 5 দিয়া।",
মাথা,স্হূলবুদ্ধি বোকা ,"মাথায় গোবড় পোরা, নাম শোন নি? উনি ভারতের স্বরাষ্ট্রসচিব।",
মাথা,স্হূলবুদ্ধি বোকা ,মাথা  মোটা মানুষদের সাথে তর্কে জড়িয়ে লাভ নেই।,
মাথা, প্রশয় পাওয়া,দিন দিন ছেলেটি মাথায় চড়ে বসেছে।,
মাথা, প্রশয় পাওয়া,সাফল্য ওর মাথায় চড়ে বসেছে।,
মাথা, প্রশয় পাওয়া,"পুলিশ অফিসারের মাথায় চড়ে বসেছে এক বাঁদর, দেখুন সেই ভিডিও.",
মাথা, প্রশয় পাওয়া,খ্যাতি চড়ে বসেছে কার্তিকের মাথায় ,
মাথা, প্রশয় পাওয়া,মুল গেটের মাথায় চড়ে বসেছে আস্ত একটা ময়াল।,
মাথা, প্রশয় পাওয়া, বোঝাই যাচ্ছে বিশ্বজুড়ে একেবারে মাথায় চড়ে বসেছে করোনা।,
মাথা, প্রশয় পাওয়া,"কিচ্ছু বলা যায়না, ছেলেকে মাথায় তোলে রেখেছে।",
মাথা, প্রশয় পাওয়া,"কিন্তু কিছু না বলতে বলতে মাথায় উঠে বসেছে,,.",
মাথা, প্রশয় পাওয়া,"রাখাল জাত একবার রাজপুৱীতে আমল পেয়ে মাথায় উঠে বসেছে।
",
মাথা, প্রশয় পাওয়া,চড়িয়ে বসেছে নেড়ে মাথার উপর।,
মাথা, প্রশয় পাওয়া,"যে কৃষক মানুষের ক্ষুধা নিবারণের অন্ন জোগান, তাঁদের মাথায় তুলে রাখা উচিত বলে মন্তব্য করেছেন আওয়ামী লীগ সভাপতি ও প্রধানমন্ত্রী শেখ হাসিনা। ",
মাথা, প্রশয় পাওয়া,তামিল ছবি মাথায় তুলে রেখেছে বাংলার অনিকেতকে.,
মাথা, প্রশয় পাওয়া,জি বাংলা এদের মাথায় তুলে রেখেছে। তাই এই বাংলাদেশির এমন পোস্ট.,
মাথা, প্রশয় পাওয়া,করোনাকালে ভালো কাজ করেছ বলে মানুষ পুলিশকে মাথায় তুলে রেখেছে,
মাথা, প্রশয় পাওয়া,দিনে আশ্রয়-প্রশ্রয় পেয়ে মাথায় উঠে বসেছে।,
মাথা, প্রশয় পাওয়া,গীত তারকা স্বামীর আদর পেয়ে পেয়ে মাথায় উঠে বসেছে টিনা।,
মাথা,বোধগম্য হওয়া। ,কোনদিন ও তার চিন্তা আমার মাথায় ঢুকলো না। ,
মাথা,বোধগম্য হওয়া। ,স্যার ক্লাসে কি পড়ালেন আমার মাথার উপর দিয়ে গেলো রে ভাই।,
মাথা,বোধগম্য হওয়া। ,সজীবের কথা আমার মাথার উপর দিয়ে যায় সবসময়।,
মাথা,বোধগম্য হওয়া। ,এই অংক আমার কোনদিন ও মাথায় ঢুকবেনা।,
মাথা,বোধগম্য হওয়া। ,"এই অংক আমার কোনদিন ও মাথায় ঢুকবেনা। ইয়াদ ভাইয়া কি করতে চাচ্ছেন,সব কিছুই আমার মাথার উপর দিয়ে ",
মাথা,বোধগম্য হওয়া। ," পড়াশোনা আর তোর মাথায় ঢুকবেনা ,না খেয়েই মরবি।",
মাথা,প্রণাম করা,প্রতিমার সামনে মাথা ঠুকে প্রণব জগতের সকল প্রাণীর মঙ্গল কামনা করলো। ,
মাথা,প্রণাম করা,"সিড়ির প্রথম ধাপে পা ফেলার আগে এক মুহূর্ত থামলাম, মনে মনে মাথা ঠুকে প্রণাম করলাম।",
মাথা,প্রণাম করা,বলে মহীরাবন যেই মাটিতে মাথা ঠুকে প্রনাম করছিল-,
মাথা,প্রণাম করা,মন্দিরের ফটকেই মাথা ঠুকে প্রণাম সেরে বিরস বদনে বাড়ি ফিরতে লাগলাম।,
মাথা,প্রণাম করা,"যৌবন মাথা ঠুকে মরে ইতিহাসের অলিন্দে, চালাক কাঠবিড়ালিরা তাদের ধারালো দাঁত",
মাথা,প্রণাম করা,"ইসলামে এক মানুষের অন্য মানুষের সামনে নত হওয়া শুধু হারামই নয়, এটি স্পষ্টতই শিরক। ",
মাথা,বোধগম্য হওয়া,অঙ্ক করতে দিলে কখনোই সোহার মাথায় ঢুকেনা।,
মাথা,প্রণাম করা,মাথা নত করে শ্রদ্ধা জানিয়েছেন অমর সিং-কে।,
মাথা,প্রণাম করা,"মাথা নত করে তাকাও, আমি জনগণ ক্ষমতা ও রাষ্ট্রের মালিক।",
মাথা,প্রণাম করা,মৃতদেহ দেখলে মাথা নত করে শিব শিব করুন কারন মৃত্যুর কিছুক্ষন পর পর্যন্ত মৃত শরীরে,
মাথা,প্রণাম করা,নিজেদের ছেলেবেলা কে উপেক্ষা করে যারা সংসারের সকলকে ভালো রাখার উদ্দেশ্যে নিয়মিত লড়ছে তাদের প্রতি শ্রদ্ধায় মাথা নত হয়। ,
মাথা,প্রণাম করা,"শ্রদ্ধায় মাথা নত, চোখ ভরে এল। স্যার, আপনার এই দান শতকোটি টাকার থেকেও মূল্যবান।",
মাথা, অপমানিত হওয়া,চুরি করে ধরা খাওয়ায় চোরের মাথা কাটা গেলো।,
মাথা, অপমানিত হওয়া,লজ্জায় তার মাথা নিচু হয়ে গেলো।,
মাথা, অপমানিত হওয়া,মৌলবাদী গোষ্ঠীর কাছে মাথা নত করবো না: ,
মাথা, অপমানিত হওয়া,"জাতীয় পার্টির চেয়ারম্যান হুসেইন মুহম্মদ এরশাদ বলেছেন, লজ্জায় আমার মাথা কাটা যায়। অপমানে আমি মুখ দেখাতে পারি না।",
মাথা, অপমানিত হওয়া,"লজ্জায় মাথা কাটা গিয়েছিল ,পূজার মায়ের! ",
মাথা, অপমানিত হওয়া,"এই কথা বলতে আমার লজ্জায় মাথা কাটা গেলেও আপনার কাছে স্বীকার করছি, ",
মাথা, অপমানিত হওয়া,"মিডিয়া সেন্টার. আমি লজ্জিত, আমার মাথা নিচু হয়ে গেছে",
মাথা, অপমানিত হওয়া,"কারও কাছে মাথা নত করে চলব না। মর্যাদা নিয়ে চলব, মাথা নিচু করে না:",
মাথা, অপমানিত হওয়া,"মর্যাদা নিয়ে চলব, মাথা নিচু করে না:",
মাথা, অপমানিত হওয়া,এর ফলে আমাদের গোটা শিক্ষক সমাজের মাথা নিচু হয়ে যায়।,
মাথা, অপমানিত হওয়া,পুলিশের গুলিতে প্রাণ দিয়েছিলেন কিন্তু মাথা নত করেননি।,
